60-64,Country,50-54,55-59,70-74,65-69,Year,Country_Name,Male,Cause,75 +
0.0,2045,1.0,0.0,1.0,0.0,1995,Belize,0,B26,1.0
2.0,2045,2.0,3.0,5.0,8.0,1995,Belize,1,B27,15.0
2.0,2045,1.0,3.0,5.0,6.0,1995,Belize,0,B27,12.0
5.0,2045,1.0,2.0,10.0,7.0,1995,Belize,1,B28,14.0
0.0,2045,0.0,5.0,5.0,6.0,1995,Belize,0,B28,24.0
2.0,2045,2.0,2.0,5.0,5.0,1995,Belize,1,B29,12.0
5.0,2045,2.0,2.0,6.0,2.0,1995,Belize,0,B29,7.0
0.0,2045,0.0,0.0,0.0,0.0,1995,Belize,1,B30,1.0
1.0,2045,0.0,0.0,0.0,0.0,1995,Belize,0,B30,1.0
0.0,2045,0.0,0.0,0.0,0.0,1996,Belize,1,B26,6.0
0.0,2045,0.0,0.0,0.0,2.0,1996,Belize,0,B26,8.0
2.0,2045,0.0,8.0,2.0,6.0,1996,Belize,1,B27,12.0
2.0,2045,2.0,2.0,0.0,4.0,1996,Belize,0,B27,15.0
3.0,2045,4.0,1.0,6.0,4.0,1996,Belize,1,B28,15.0
0.0,2045,1.0,5.0,2.0,5.0,1996,Belize,0,B28,20.0
2.0,2045,0.0,3.0,4.0,3.0,1996,Belize,1,B29,18.0
1.0,2045,1.0,3.0,4.0,0.0,1996,Belize,0,B29,16.0
1.0,2045,0.0,0.0,1.0,1.0,1996,Belize,1,B30,3.0
4.0,2045,0.0,0.0,2.0,1.0,1996,Belize,0,B30,2.0
3.0,2045,1.0,2.0,4.0,3.0,1997,Belize,1,I10,6.0
1.0,2045,1.0,1.0,3.0,5.0,1997,Belize,0,I10,11.0
0.0,2045,0.0,0.0,0.0,0.0,1997,Belize,1,I210,1.0
3.0,2045,0.0,6.0,8.0,5.0,1997,Belize,1,I219,12.0
1.0,2045,2.0,0.0,4.0,3.0,1997,Belize,0,I219,16.0
0.0,2045,0.0,0.0,0.0,1.0,1997,Belize,1,I251,4.0
0.0,2045,0.0,0.0,0.0,0.0,1997,Belize,0,I251,1.0
0.0,2045,0.0,1.0,3.0,1.0,1997,Belize,1,I259,6.0
1.0,2045,0.0,0.0,0.0,1.0,1997,Belize,0,I259,6.0
0.0,2045,0.0,0.0,1.0,0.0,1997,Belize,1,I269,2.0
0.0,2045,0.0,0.0,0.0,0.0,1997,Belize,0,I269,1.0
0.0,2045,0.0,0.0,0.0,0.0,1997,Belize,1,I279,1.0
0.0,2045,0.0,0.0,0.0,0.0,1997,Belize,0,I279,2.0
0.0,2045,0.0,0.0,0.0,0.0,1997,Belize,0,I429,0.0
0.0,2045,0.0,0.0,1.0,0.0,1997,Belize,1,I469,6.0
1.0,2045,0.0,1.0,2.0,1.0,1997,Belize,0,I469,10.0
0.0,2045,0.0,0.0,1.0,1.0,1997,Belize,1,I490,0.0
